Alloy,Al,Cr,Fe,Hf,Mo,Nb,Ni,Sc,Si,Ta,Ti,V,W,Zr,Co,Cu
Nb25Mo25Ta25W25,0,0,0,0,25,25,0,0,0,25,0,0,25,0,0,0
V20Nb20Mo20Ta20W20,0,0,0,0,20,20,0,0,0,20,0,20,20,0,0,0
HfMoTaTiZr,0,0,0,20,20,0,0,0,0,20,20,0,0,20,0,0
HfMoNbTaTiZr,0,0,0,16.7,16.7,16.7,0,0,0,16.7,16.7,0,0,16.7,0,0
TiNbMoTaW,0,0,0,0,20,20,0,0,0,20,20,0,20,0,0,0
TiVNbMoTaW,0,0,0,0,16.66,16.66,0,0,0,16.66,16.66,16.66,16.66,0,0,0
AlNbTiV,27.6,0,0,0,0,24.1,0,0,0,0,24.8,23.5,0,0,0,0
AlCr0.5NbTiV,25.6,10.2,0,0,0,22.2,0,0,0,0,21.4,20.6,0,0,0,0
AlCrNbTiV,22.9,18.8,0,0,0,20.2,0,0,0,0,19.3,18.8,0,0,0,0
AlCr1.5NbTiV,21.7,25,0,0,0,18.7,0,0,0,0,17.8,16.8,0,0,0,0
HfMoTaTiZr,0,0,0,20,20,0,0,0,0,20,20,0,0,20,0,0
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,5.2,0,0,0,0,23.4,0,0,0,13.2,27.7,4.3,0,26.2,0,0
Al0.3NbTaTi1.4Zr1.3,5.7,0,0,0,0,23.5,0,0,0,17.6,27.2,0,0,26,0,0
Al0.4Hf0.6NbTaTiZr,7.9,0,0,12.8,0,23,0,0,0,16.8,18.9,0,0,20.6,0,0
Al0.5NbTa0.8Ti1.5V0.2Zr,11.3,0,0,0,0,22.3,0,0,0,13.1,27.9,4.5,0,20.9,0,0
Al0.5Mo0.5NbTa0.5TiZr,20.7,0,0,0,12.7,22.3,0,0,0,13.6,20.2,0,0,10.4,0,0
Al0.6MoTaTiV,13.04,0,0,0,21.74,0,0,0,0,21.74,21.74,21.74,0,0,0,0
AlCrMoNbTi,20.2,20.3,0,0,19,19.8,0,0,0,0,20.7,0,0,0,0,0
 AlMo0.5NbTa0.5TiZr,20.4,0,0,0,10.5,22.4,0,0,0,10.1,17.8,0,0,18.8,0,0
AlMo0.5NbTa0.5TiZr0.5,20.7,0,0,0,12.7,22.3,0,0,0,13.6,20.2,0,0,10.4,0,0
AlNbTiVZr,16.5,0,0,0,0,25.8,0,0,0,0,24.7,18.5,0,14.5,0,0
AlNbTiVZr0.1,25.7,0,0,0,0,23.6,0,0,0,0,24.6,22.8,0,3.3,0,0
AlNbTiVZr0.25,25,0,0,0,0,22.4,0,0,0,0,24,21.9,0,6.7,0,0
AlNbTiVZr0.5,23.4,0,0,0,0,20.9,0,0,0,0,22.8,21.7,0,11.2,0,0
AlNbTiVZr1.5,16.9,0,0,0,0,19.4,0,0,0,0,19.1,18.7,0,25.9,0,0
Mo0.5NbHf0.5ZrTiC0.1,0,0,0,14.82,11.26,24.77,0,0,0,0,24.94,0,0,24.2,0,0
Mo0.5NbHf0.5ZrTiC0.3,0,0,0,14.29,12.21,24.8,0,0,0,0,24.83,0,0,23.87,0,0
NbCrMo0.5Ta0.5TiZr,0,18.39,0,0,10.04,21.84,0,0,0,11.86,19.4,0,0,18.48,0,0
NbTiVZr,0,0,0,0,0,28.3,0,0,0,0,24.5,23,0,24.2,0,0
CrNbTiZr,0,24.6,0,0,0,26.7,0,0,0,0,23.9,0,0,24.8,0,0
CrNbTiVZr,0,20.2,0,0,0,20,0,0,0,0,19.9,19.6,0,20.3,0,0
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0,0,0,8,0,30.8,0,0,0,30.8,17.7,0,0,12.7,0,0
Mo0.5NbHf0.5ZrTi,0,0,0,13.19,11.57,24.97,0,0,0,0,25.15,0,0,25.12,0,0
Mo0.5NbHf0.5ZrTiSi0.1,0,0,0,14.23,12.4,24.18,0,0,2.23,0,24.05,0,0,22.91,0,0
Mo0.5NbHf0.5ZrTiSi0.3,0,0,0,13.85,11.48,23.45,0,0,4.99,0,23.91,0,0,22.33,0,0
Mo0.5NbHf0.5ZrTiSi0.5,0,0,0,12.31,11.01,22.34,0,0,11.33,0,22.05,0,0,20.97,0,0
Mo0.5NbHf0.5ZrTiSi0.7,0,0,0,12.33,9.93,21.47,0,0,15.96,0,20.24,0,0,20.08,0,0
Mo0.5NbHf0.5ZrTiSi0.9,0,0,0,11.41,9.5,19.6,0,0,20.68,0,19.75,0,0,19.06,0,0
HfNbTaTiZr,0,0,0,20,0,20,0,0,0,20,20,0,0,20,0,0
HfMo0.25NbTaTiZr,0,0,0,19,4.8,19,0,0,0,19,19,0,0,19,0,0
HfMo0.50NbTaTiZr,0,0,0,18.2,9.1,18.2,0,0,0,18.2,18.2,0,0,18.2,0,0
HfMo0.75NbTaTiZr,0,0,0,17.4,13,17.4,0,0,0,17.4,17.4,0,0,17.4,0,0
HfMoNbTaTiZr,0,0,0,16.7,16.7,16.7,0,0,0,16.7,16.7,0,0,16.7,0,0
