Alloy,avg_atomic_weight,min_atomic_weight,max_atomic_weight,avg_atomic_volume,min_atomic_volume,max_atomic_volume,avg_atomic_number,min_atomic_number,max_atomic_number,avg_electron_affinity,min_electron_affinity,max_electron_affinity,avg_en_mulliken,min_en_mulliken,max_en_mulliken,avg_en_pauling,min_en_pauling,max_en_pauling
Nb25Mo25Ta25W25,138.4110625,26.9815385,95.95,10.1575,10.0,9.4,57.5,13,42,0.7009164999999998,0.43283,0.748,4.00856825,3.2092992000000002,3.9202150000000002,1.74,1.61,2.16
V20Nb20Mo20Ta20W20,120.91715,26.9815385,95.95,9.796,10.0,9.4,50.6,13,42,0.6657331999999999,0.43283,0.748,3.9339733,3.2092992000000002,3.9202150000000002,1.7180000000000002,1.61,2.16
HfMoTaTiZr,118.89577600000001,26.9815385,178.49,11.72,10.0,13.6,49.8,13,72,0.31779999999999997,0.43283,0.013999999999999999,3.651809,3.2092992000000002,3.419535,1.5659999999999998,1.61,1.3
HfMoNbTaTiZr,114.56420833333333,26.9815385,178.49,11.566666666666666,10.0,13.6,48.33333333333332,13,72,0.41773433333333326,0.43283,0.013999999999999999,3.6828621666666663,3.2092992000000002,3.419535,1.5716666666666665,1.61,1.3
TiNbMoTaW,120.30224999999999,26.9815385,95.95,10.245999999999999,10.0,9.4,50.4,13,42,0.5765332,0.43283,0.748,3.8975666,3.2092992000000002,3.9202150000000002,1.7,1.61,2.16
TiVNbMoTaW,108.74212500000002,26.9815385,95.95,9.930000000000001,10.0,9.4,45.833333333333336,13,42,0.5679443333333334,0.43283,0.748,3.8539044166666674,3.2092992000000002,3.9202150000000002,1.6883333333333335,1.61,2.16
AlNbTiV,53.679608296,51.9961,26.9815385,9.95385,7.23,10.0,24.33,24,13,0.4835229260000001,0.6659999999999999,0.43283,3.5216027797000002,3.7162550000000003,3.2092992000000002,1.5949300000000002,1.66,1.61
AlCr0.5NbTiV,53.573577195999995,55.845,26.9815385,9.68356,7.1,10.0,24.324,26,13,0.507456612,0.151,0.43283,3.5406971221999997,4.0267339,3.2092992000000002,1.60202,1.83,1.61
AlCrNbTiV,53.536458856500005,55.845,26.9815385,9.44644,7.1,10.0,24.340999999999998,26,13,0.523589082,0.151,0.43283,3.5589159707999998,4.0267339,3.2092992000000002,1.6076300000000001,1.83,1.61
AlCr1.5NbTiV,53.3060080445,55.845,51.9961,9.286700000000002,7.1,7.23,24.267999999999997,26,24,0.534241032,0.151,0.6659999999999999,3.5687250004,4.0267339,3.7162550000000003,1.6115300000000001,1.83,1.66
HfMoTaTiZr,118.89577600000001,26.9815385,178.49,11.72,10.0,13.6,49.8,13,72,0.31779999999999997,0.43283,0.013999999999999999,3.651809,3.2092992000000002,3.419535,1.5659999999999998,1.61,1.3
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,86.378582242,51.9961,47.867,11.47545,7.23,10.6,37.469,24,22,0.435754164,0.6659999999999999,0.079,3.6223426709,3.7162550000000003,3.45356,1.50125,1.66,1.54
Al0.3NbTaTi1.4Zr1.3,91.9558355245,51.9961,47.867,11.5756,7.23,10.6,39.608000000000004,24,22,0.42918172000000004,0.6659999999999999,0.079,3.6347436144,3.7162550000000003,3.45356,1.4964499999999998,1.66,1.54
Al0.4Hf0.6NbTaTiZr,104.5849774815,51.9961,92.90637,11.754000000000001,7.23,10.8,44.335,24,41,0.40377195,0.6659999999999999,0.917406,3.6151089768,3.7162550000000003,3.8381279999999998,1.4786299999999999,1.66,1.6
Al0.5NbTa0.8Ti1.5V0.2Zr,82.18428314049999,51.9961,47.867,11.24635,7.23,10.6,35.708,24,22,0.430373328,0.6659999999999999,0.079,3.5990456861,3.7162550000000003,3.45356,1.51621,1.66,1.54
Al0.5Mo0.5NbTa0.5TiZr,82.33662728678678,51.9961,92.90637,10.772972972972973,7.23,10.8,35.73573573573574,24,41,0.49372106906906904,0.6659999999999999,0.917406,3.6217171805805806,3.7162550000000003,3.8381279999999998,1.6194094094094094,1.66,1.6
Al0.6MoTaTiV,85.19695963240001,51.9961,95.95,9.836950000000002,7.23,9.4,36.4792,24,42,0.4203686320000001,0.6659999999999999,0.748,3.66756898658,3.7162550000000003,3.9202150000000002,1.694786,1.66,2.16
AlCrMoNbTi,62.539909337,55.845,47.867,9.60629,7.1,10.6,28.15,26,22,0.562749048,0.151,0.079,3.6223553174,4.0267339,3.45356,1.7081799999999998,1.83,1.54
 AlMo0.5NbTa0.5TiZr,80.336184614,51.9961,92.90637,11.0847,7.23,10.8,35.05499999999999,24,41,0.499008264,0.6659999999999999,0.917406,3.6019388488000006,3.7162550000000003,3.8381279999999998,1.5893000000000002,1.66,1.6
AlMo0.5NbTa0.5TiZr0.5,82.33662728678678,51.9961,92.90637,10.772972972972973,7.23,10.8,35.73573573573574,24,41,0.49372106906906904,0.6659999999999999,0.917406,3.6217171805805806,3.7162550000000003,3.8381279999999998,1.6194094094094094,1.66,1.6
AlNbTiVZr,62.8966038125,51.9961,92.90637,10.64385,7.23,10.8,28.212,24,41,0.486515698,0.6659999999999999,0.917406,3.5572282595,3.7162550000000003,3.8381279999999998,1.5532299999999999,1.66,1.6
AlNbTiVZr0.1,55.2604947145,51.9961,26.9815385,10.0955,7.23,10.0,24.993000000000002,24,13,0.48093712599999994,0.6659999999999999,0.43283,3.5255675304000005,3.7162550000000003,3.2092992000000002,1.5857400000000001,1.66,1.61
AlNbTiVZr0.25,56.31268800499999,51.9961,26.9815385,10.236549999999998,7.23,10.0,25.430999999999994,24,13,0.4761834439999999,0.6659999999999999,0.43283,3.5236214985,3.7162550000000003,3.2092992000000002,1.5765799999999999,1.66,1.61
AlNbTiVZr0.5,57.916180839,51.9961,26.9815385,10.40515,7.23,10.0,26.098,24,13,0.472669074,0.6659999999999999,0.43283,3.5248346343000003,3.7162550000000003,3.2092992000000002,1.5649299999999997,1.66,1.61
AlNbTiVZr1.5,64.87938928649999,51.9961,91.224,11.023150000000001,7.23,14.1,29.013999999999996,24,40,0.474723034,0.6659999999999999,0.426,3.5407113913,3.7162550000000003,3.52995,1.52591,1.66,1.33
