Alloy,Al-Al,Al-Cr,Al-Fe,Al-Hf,Al-Mo,Al-Nb,Al-Ni,Al-Sc,Al-Si,Al-Ta,Al-Ti,Al-V,Al-W,Al-Zr,Al-Co,Al-Cu,Cr-Cr,Cr-Fe,Cr-Hf,Cr-Mo,Cr-Nb,Cr-Ni,Cr-Sc,Cr-Si,Cr-Ta,Cr-Ti,Cr-V,Cr-W,Cr-Zr,Cr-Co,Cr-Cu,Fe-Fe,Fe-Hf,Fe-Mo,Fe-Nb,Fe-Ni,Fe-Sc,Fe-Si,Fe-Ta,Fe-Ti,Fe-V,Fe-W,Fe-Zr,Fe-Co,Fe-Cu,Hf-Hf,Hf-Mo,Hf-Nb,Hf-Ni,Hf-Sc,Hf-Si,Hf-Ta,Hf-Ti,Hf-V,Hf-W,Hf-Zr,Hf-Co,Hf-Cu,Mo-Mo,Mo-Nb,Mo-Ni,Mo-Sc,Mo-Si,Mo-Ta,Mo-Ti,Mo-V,Mo-W,Mo-Zr,Mo-Co,Mo-Cu,Nb-Nb,Nb-Ni,Nb-Sc,Nb-Si,Nb-Ta,Nb-Ti,Nb-V,Nb-W,Nb-Zr,Nb-Co,Nb-Cu,Ni-Ni,Ni-Sc,Ni-Si,Ni-Ta,Ni-Ti,Ni-V,Ni-W,Ni-Zr,Ni-Co,Ni-Cu,Sc-Sc,Sc-Si,Sc-Ta,Sc-Ti,Sc-V,Sc-W,Sc-Zr,Sc-Co,Sc-Cu,Si-Si,Si-Ta,Si-Ti,Si-V,Si-W,Si-Zr,Si-Co,Si-Cu,Ta-Ta,Ta-Ti,Ta-V,Ta-W,Ta-Zr,Ta-Co,Ta-Cu,Ti-Ti,Ti-V,Ti-W,Ti-Zr,Ti-Co,Ti-Cu,V-V,V-W,V-Zr,V-Co,V-Cu,W-W,W-Zr,W-Co,W-Cu,Zr-Zr,Zr-Co,Zr-Cu,Co-Co,Co-Cu,Cu-Cu
Nb25Mo25Ta25W25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V20Nb20Mo20Ta20W20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
HfMoNbTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761904761904761,0.04761904761904761,0.04761904761904761,0.0,0.0,0.0,0.04761904761904761,0.04761904761904761,0.0,0.0,0.04761904761904761,0.0,0.0,0.04761904761904761,0.04761904761904761,0.0,0.0,0.0,0.04761904761904761,0.04761904761904761,0.0,0.0,0.04761904761904761,0.0,0.0,0.04761904761904761,0.0,0.0,0.0,0.04761904761904761,0.04761904761904761,0.0,0.0,0.04761904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761904761904761,0.04761904761904761,0.0,0.0,0.04761904761904761,0.0,0.0,0.04761904761904761,0.0,0.0,0.04761904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761904761904761,0.0,0.0,0.0,0.0,0.0
TiNbMoTaW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TiVNbMoTaW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761904761904762,0.04761904761904762,0.0,0.0,0.0,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.0,0.0,0.0,0.04761904761904762,0.0,0.0,0.0,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.0,0.0,0.0,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.0,0.0,0.0,0.04761904761904762,0.04761904761904762,0.0,0.0,0.0,0.04761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlNbTiV,0.12178553556954276,0.0,0.0,0.0,0.0,0.10634171765311523,0.0,0.0,0.0,0.0,0.10943048123640073,0.10369420601029908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09285635490724917,0.0,0.0,0.0,0.0,0.09555342745642238,0.09054457843652927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09832883821241806,0.09317450395128324,0.0,0.0,0.0,0.0,0.08829035656674016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlCr0.5NbTiV,0.10801545338273495,0.04303740720718345,0.0,0.0,0.0,0.09366965098034045,0.0,0.0,0.0,0.0,0.09029416806212999,0.08691868514391952,0.0,0.0,0.0,0.0,0.017147716934112156,0.0,0.0,0.0,0.037321501562479396,0.0,0.0,0.0,0.0,0.03597658258725491,0.03463166361203043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08122915045951398,0.0,0.0,0.0,0.0,0.07830197386637834,0.07537479727324271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07548028111443678,0.07265858836249522,0.0,0.0,0.0,0.0,0.06994237945174775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlCrNbTiV,0.08731566074083694,0.07168272584837268,0.0,0.0,0.0,0.07702080117750681,0.0,0.0,0.0,0.0,0.07358918132306344,0.07168272584837268,0.0,0.0,0.0,0.0,0.05884870069648064,0.0,0.0,0.0,0.06323105074834622,0.0,0.0,0.0,0.0,0.06041382571500406,0.05884870069648064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06793974601684008,0.0,0.0,0.0,0.0,0.06491272762995116,0.06323105074834622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062020576398913736,0.06041382571500406,0.0,0.0,0.0,0.0,0.05884870069648064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlCr1.5NbTiV,0.07819066706739751,0.09008141367211696,0.0,0.0,0.0,0.06738089742674347,0.0,0.0,0.0,0.0,0.06413796653454727,0.06053470998766259,0.0,0.0,0.0,0.0,0.10378043049783059,0.0,0.0,0.0,0.07762776201237728,0.0,0.0,0.0,0.0,0.07389166651445538,0.06974044929454215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05806556598525821,0.0,0.0,0.0,0.0,0.05527096655281263,0.05216585607231754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05261086655829224,0.04965519989771402,0.0,0.0,0.0,0.0,0.046865581925932334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
